Aalst, Wil Van Der
Aba, Massinissa Ait
Ababei, Cristinel
Abadi, Daniel J.
Abadi, Martín
Abari, Omid
Abbadi, Amr El
Abbadi, Mohamed
Abbas, Naeem
Abdel-Majeed, Mohammad
Abdelbaky, Moustafa
Abdelhafez, Hazem
Abdelhalim, Amer
Abdelwahed, Sherif
Abdelzaher, Tarek
Abdolrashidi, Amirali
Abdulah, Sameh
Abduljabbar, Mustafa
Abdulla, Parosh Aziz
Abe, Naoki
Abe, Tatsuya
Abedi, Ali
Abedjan, Ziawasch
Aben, Emile
Abeydeera, Maleen
Abhashkumar, Anubhavnidhi
Aboulnaga, Ashraf
Abowd, John
Abraham, Ittai
Abrahao, Bruno
Abramson, David
Abts, Dennis
Abu-Ghazaleh, Nael
Abu-Salma, Ruba
Abulila, Ahmed
Acar, Gunes
Acar, Umut A.
Acar, Yasemin
Accioly, Paola
Acer, Mustafa Emre
Acer, Seher
Acharya, Ayan
Achermann, Reto
Acun, Bilge
Adam, Omer
Adams, Michael D.
Adams, Trent
Adamsen, Christoffer Quist
Adeniyi-Jones, Chris
Adersberger, Josef
Adhinarayanan, Vignesh
Adib, Fadel
Adrian, David
Adve, Sarita V.
Afroz, Sadia
Afsahi, Ahmad
Aftandilian, Edward
Aga, Misiker Tadesse
Aga, Shaizeen
Agache, Alexandru
Agarwal, Deepak
Agarwal, Neha
Agarwal, Nipun
Agarwal, Rachit
Agarwal, Sameer
Agarwal, Sharad
Ageev, Mikhail
Aggarwal, Charu
Aggarwal, Pooja
Aghayev, Abutalib
Agichtein, Eugene
Agostini, Elena
Agrawal, Abhinav
Agrawal, Abhishek
Agrawal, Aditya
Agrawal, Ankit
Agrawal, Divyakant
Agrawal, Gagan
Agrawal, Gaurav
Agrawal, Kunal
Agrawal, Nitin
Agrawal, Rakesh
Agrawal, Sandeep R.
Agrawal, Shashank
Agrawal, Shweta
Aguiar, Leandro P. De
Aguilera, Marcos K.
Agullo, Emmanuel
Agung, Mulya
Ahalt, Stan
Ahamad, Mustaque
Ahmad, Irfan
Ahmad, Ishfaq
Ahmad, Maaz Bin Safeer
Ahmad, Masab
Ahmad, Raza
Ahmad, Yanif
Ahmed, Amal
Ahmed, Kishwar
Ahmed, M Meraj
Ahmed, Maruf
Ahmed, Pritom
Ahmed, Salah
Ahn, Dong H.
Ahn, Ethan C.
Ahn, Gail-Joon
Ahn, Jung Ho
Ahn, Soohan
Ahrens, James
Ai, Qingyao
Ai, Zhiyuan
Aida, Kento
Aiello, Luca Maria
Aiello, Marco
Aiken, Alex
Ailamaki, Anastasia
Ainsworth, Mark
Aiyar, Srinivas
Ajay, Jerry
Aji, Ashwin
Akaria, Islam
Akata, Zeynep
Akbudak, Kadir
Akella, Aditya
Akella, Venkatesh
Aken, Dana Van
Akgun, Itir
Akkus, Istemi Ekin
Akoglu, Ali
Akoglu, Leman
Akram, Riad
Aksenov, Vitaly
Aktaş, Mehmet Fatih
Aktolga, Elif
Akturk, Ismail
Al-Fuqaha, Ala
Al-Hawaj, Khalid
Al-Kiswany, Samer
Al-Rawi, Asma
Al-Shaer, Ehab
Alabi, Daniel
Alagappan, Ramnatthan
Alaghi, Armin
Alam, Hanna
Alam, Mejbah Ul
Alam, Monjur
Alam, Sadaf R.
Alameldeen, Alaa
Alapati, Praveen
Alarcon, Sonia
Alay, Özgü
Albarghouthi, Aws
Albayram, Yusuf
Albericio, Jorge
Albers, Susanne
Albonesi, David
Alcantara, Joel
Alcorn, Scott
Alcántara, Manuel
Aldinucci, Marco
Aldrich, Jonathan
Alduaij, Naser
Aldweesh, Amjad
Alexeev, Yuri
Alforov, Yevhen
Alfredsson, Stefan
Alglave, Jade
Alhassoun, Nailah
Ali, Karim
Ali-Eldin, Ahmed
Alian, Mohammad
Alim, Adil
Alimohammadifar, Amir
Alipour, Mehdi
Alipourfard, Omid
Alistarh, Dan
Alizadeh, Mohammad
Allalen, Momme
Allan, James
Allcock, William
Allen, Gabrielle Dawn
Allen, Tyler
Allen-Bond, Michael R.
Allman, Mark
Allodi, Luca
Almakhdhub, Naif Saleh
Almasi, Gheorghe
Almeida, Francisco
Almeida, José Bacelar
Almeida, Jussara
Almgren, Ann
Almgren, Magnus
Almudever, Carmen G.
Alonso, Gustavo
Alonso, Omar
Alrwais, Sumayah
Alshboul, Mohammad
Alshenibr, Leen
Alsop, Johnathan
Alsudais, Azzam
Alt, Samantha
Altaf, Bin
Altayeva, Aigerim
Althoff, Tim
Altingovde, Ismail Sengor
Altintas, Ilkay
Altisen, Karine
Altmann, Jorn
Altıntaş, Ervin
Alur, Rajeev
Aluru, Srinivas
Alvares, Alberto Jose
Alvarez, Gonzalo P. Rodrigo
Alvaro, Peter
Alviano, Mario
Alvisi, Lorenzo
Alwen, Joel
Amann, Johanna
Amano, Hideharu
Amaral, José Nelson
Amaral, Marcelo Carneiro Do
Amaral, Vasco
Amarasinghe, Saman
Amarilli, Antoine
Amarís, Marcos
Amato, Nancy
Ambrona, Miguel
Amer, Abdelhalim
Amer, Halim
Ames, Scott
Amigó, Enrique
Amin, Tanvir Al
Amini, Massih-Reza
Amiri, Ardalan
Amit, Nadav
Ammar, Mostafa
Amorim, Luís Eduardo De Souza
Amrizal, Muhammad Alfian
Amsterdamer, Yael
Amza, Cristiana
An, Aijun
An, Yujie
An, Zhenlin
An, Zhongqi
Anagnostopoulos, Aris
Anand, Saswat
Ananthanarayanan, Ganesh
Anciaux, Nicolas
Ancona, Davide
Andelfinger, Philipp
Andersen, David G.
Anderson, Daniel
Anderson, Michael R.
Anderson, Thomas
Anderton, Cooper
Ando, Shin
Andonov, Rumen
Andriesse, Dennis
Andriotis, Panagiotis
Andritsos, Periklis
Andronidis, Anastasios
Andrus, Jeremy
Andrzejak, Artur
Ang, Lynn
Ang, Petchean
Angelino, Elaine
Anghel, Andreea
Angulo, Gustavo
Anirudh, Rushil
Annavaram, Murali
Ansari, Amin
Anta, Antonio Fernandez
Antao, Samuel
Antichi, Gianni
Antoine, Boutet
Antonakakis, Manos
Antoniadis, Antonios
Antonie, Luiza
Antoniu, Gabriel
Antonopoulos, Timos
Antova, Lyublena
Antypas, Katerina
Antypas, Katie
Anzt, Hartwig
Ao, Yulong
Aoki, Takayuki
Apon, Amy
Apostolaki, Maria
Appel, Andrew W.
Appice, Annalisa
Appini, Mahathi Priya
Appuswamy, Raja
Apra, Edoardo
Apte, Varsha
Aqil, Azeem
Arab, Bahareh Sadat
Arabnejad, Hamid
Aracil, Javier
Arafa, Pansy
