"","name","gs_email","as_pc_chair","as_pc","as_session_chair","as_panelist","as_keynote_speaker","as_author","pc_chairs","pcs","session_chairs","panels","keynotes","papers","gender","country","sector"
"1","Aalst, Wil Van Der","@tue.nl",0,0,0,0,0,1,"","","","","","CCGrid","M","nl","edu"
"2","Aba, Massinissa Ait","@cea.fr",0,0,0,0,0,1,"","","","","","HCW","M","fr","gov"
"3","Ababei, Cristinel","@marquette.edu",0,1,0,0,0,0,"","IGSC","","","","","M","us","edu"
"4","Abadi, Daniel J.","@cs.yale.edu",0,1,0,0,0,1,"","CIDR","","","","CIDR","M","us","edu"
"5","Abadi, Martín","",0,0,0,0,1,0,"","","","","PLDI","","M","NA","NA"
"6","Abari, Omid","@mit.edu",0,0,0,0,0,1,"","","","","","NSDI","NA","us","edu"
"7","Abbadi, Amr El","@cs.ucsb.edu",0,0,0,0,0,1,"","","","","","HotCloud","M","ed","edu"
"8","Abbadi, Mohamed","",0,0,0,0,0,1,"","","","","","SLE","M","NA","NA"
"9","Abbas, Naeem","@pnec.nust.edu.pk",0,0,0,0,0,1,"","","","","","IPDPS","M","us","edu"
"10","Abdel-Majeed, Mohammad","@ju.edu.jo",0,0,0,0,0,1,"","","","","","HPCA","M","us","edu"
"11","Abdelbaky, Moustafa","@rutgers.edu",0,0,0,0,0,1,"","","","","","CCGrid","M","us","edu"
"12","Abdelhafez, Hazem","@ece.ubc.ca",0,0,0,0,0,1,"","","","","","EuroPar","M","ca","edu"
"13","Abdelhalim, Amer","@anl.gov",0,1,0,0,0,0,"","Cluster","","","","","M","us","gov"
"14","Abdelwahed, Sherif","@ece.msstate.edu",0,0,0,0,0,1,"","","","","","Cluster","NA","us","edu"
"15","Abdelzaher, Tarek","@cs.uiuc.edu",0,1,0,0,0,1,"","ICAC","","","","ICAC","M","ed","edu"
"16","Abdolrashidi, Amirali","@email.ucr.edu",0,0,0,0,0,1,"","","","","","MICRO","M","ed","edu"
"17","Abdulah, Sameh","",0,1,0,0,0,0,"","HiPC","","","","","M","NA","NA"
"18","Abduljabbar, Mustafa","@kaust.edu.sa",0,0,0,0,0,2,"","","","","","EuroPar,ISC","M","us","edu"
"19","Abdulla, Parosh Aziz","@it.uu.se",0,0,0,0,0,1,"","","","","","PLDI","F","se","edu"
"20","Abe, Naoki","",0,1,1,0,0,0,"","KDD","KDD","","","","M","NA","NA"
"21","Abe, Tatsuya","",0,0,0,0,0,1,"","","","","","OOPSLA","NA","NA","NA"
"22","Abedi, Ali","@maine.edu",0,0,0,0,0,1,"","","","","","ICPE","NA","us","edu"
"23","Abedjan, Ziawasch","@tu-berlin.de",0,0,1,0,0,1,"","","CIDR","","","CIDR","M","de","edu"
"24","Aben, Emile","",0,0,0,0,0,2,"","","","","","SIGCOMM,IMC","NA","NA","NA"
"25","Abeydeera, Maleen","@mit.edu",0,0,0,0,0,2,"","","","","","ISCA,PACT","NA","us","edu"
"26","Abhashkumar, Anubhavnidhi","@wisc.edu",0,0,0,0,0,1,"","","","","","CoNEXT","M","us","edu"
"27","Aboulnaga, Ashraf","@qf.org.qa",0,2,0,0,0,0,"","SIGMOD,SOCC","","","","","M","qa","edu"
"28","Abowd, John","@census.gov",0,0,0,0,0,1,"","","","","","SIGMOD","NA","us","gov"
"29","Abraham, Ittai","@cs.huji.ac.il",0,1,0,0,0,2,"","IPDPS","","","","NSDI,SOSP","M","il","edu"
"30","Abrahao, Bruno","@cs.stanford.edu",0,1,0,0,0,0,"","KDD","","","","","M","us","edu"
"31","Abramson, David","@monash.edu",1,4,0,0,0,0,"ICPP","CCGrid,HPDC,IPDPS,HPCC","","","","","M","us","edu"
"32","Abts, Dennis","@acm.org",0,1,0,0,0,0,"","IISWC","","","","","M","NA","NA"
"33","Abu-Ghazaleh, Nael","@cs.ucr.edu",0,0,0,0,0,2,"","","","","","MICRO,MICRO","NA","ed","edu"
"34","Abu-Salma, Ruba","",0,0,0,0,0,1,"","","","","","SP","M","NA","NA"
"35","Abulila, Ahmed","",0,0,0,0,0,1,"","","","","","HPCA","M","NA","NA"
"36","Acar, Gunes","@princeton.edu",0,0,0,0,0,1,"","","","","","CCS","M","us","edu"
"37","Acar, Umut A.","@cs.cmu.edu",0,1,0,0,0,2,"","SPAA","","","","PLDI,PPoPP","M","us","edu"
"38","Acar, Yasemin","",0,0,0,0,0,4,"","","","","","CCS,CCS,SP,SP","NA","NA","NA"
"39","Accioly, Paola","@cin.ufpe.br",0,0,0,0,0,1,"","","","","","OOPSLA","M","br","edu"
"40","Acer, Mustafa Emre","",0,0,0,0,0,1,"","","","","","CCS","M","NA","NA"
"41","Acer, Seher","@bilkent.edu.tr",0,0,0,0,0,1,"","","","","","EuroPar","M","us","edu"
"42","Acharya, Ayan","@utexas.edu",0,1,0,0,0,0,"","ICDM","","","","","M","ed","edu"
"43","Achermann, Reto","@inf.ethz.ch",0,0,0,0,0,1,"","","","","","HotOS","NA","ch","edu"
"44","Acun, Bilge","@illinois.edu",0,0,0,0,0,1,"","","","","","HiPC","M","us","edu"
"45","Adam, Omer","",0,0,0,0,0,1,"","","","","","CCGrid","M","NA","NA"
"46","Adams, Michael D.","@utah.edu",0,0,0,0,0,1,"","","","","","OOPSLA","NA","ed","edu"
"47","Adams, Trent","",0,0,0,0,1,0,"","","","","NDSS","","M","NA","NA"
"48","Adamsen, Christoffer Quist","@cs.au.dk",0,0,0,0,0,1,"","","","","","OOPSLA","M","dk","edu"
"49","Adeniyi-Jones, Chris","",0,1,0,0,0,0,"","EuroPar","","","","","M","NA","NA"
"50","Adersberger, Josef","",0,0,0,0,0,1,"","","","","","FAST","M","NA","NA"
"51","Adhinarayanan, Vignesh","@vt.edu",0,0,0,0,0,1,"","","","","","IPDPS","M","us","edu"
"52","Adib, Fadel","@mit.edu",0,1,1,0,0,2,"","MobiCom","MobiCom","","","SIGCOMM,MobiCom","M","us","edu"
"53","Adrian, David","@umich.edu",0,0,0,0,0,1,"","","","","","NDSS","F","ed","edu"
"54","Adve, Sarita V.","@illinois.edu",0,0,0,0,0,2,"","","","","","IISWC,ISCA","M","us","edu"
"55","Afroz, Sadia","@icsi.berkeley.edu",0,1,0,0,0,0,"","CCS","","","","","F","us","edu"
"56","Afsahi, Ahmad","",0,2,0,0,0,1,"","IPDPS,HPCC","","","","HiPC","M","NA","NA"
"57","Aftandilian, Edward","@google.com",0,1,0,0,0,1,"","PLDI","","","","OOPSLA","M","NA","com"
"58","Aga, Misiker Tadesse","@umich.edu",0,0,0,0,0,1,"","","","","","HPCA","F","ed","edu"
"59","Aga, Shaizeen","@umich.edu",0,0,0,0,0,2,"","","","","","HPCA,ISCA","NA","ed","edu"
"60","Agache, Alexandru","",0,0,0,0,0,2,"","","","","","EuroSys,SIGCOMM","NA","NA","NA"
"61","Agarwal, Deepak","",0,0,0,1,0,0,"","","","KDD","","","M","NA","NA"
