name,gs_email,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author,pc_chairs,pcs,session_chairs,panels,keynotes,papers,gender,country,sector
"Aalst, Wil Van Der",@tue.nl,0,0,0,0,0,1,,,,,,CCGrid,NA,nl,edu
"Aba, Massinissa Ait",@cea.fr,0,0,0,0,0,1,,,,,,HCW,NA,fr,gov
"Ababei, Cristinel",@marquette.edu,0,1,0,0,0,0,,IGSC,,,,,M,us,edu
"Abadi, Daniel J.",@cs.yale.edu,0,1,0,0,0,1,,CIDR,,,,CIDR,M,us,edu
"Abadi, Martín",,0,0,0,0,1,0,,,,,PLDI,,M,NA,NA
"Abari, Omid",@mit.edu,0,0,0,0,0,1,,,,,,NSDI,NA,us,edu
"Abbadi, Amr El",@cs.ucsb.edu,0,0,0,0,0,1,,,,,,HotCloud,NA,ed,edu
"Abbadi, Mohamed",,0,0,0,0,0,1,,,,,,SLE,NA,NA,NA
"Abbas, Naeem",@pnec.nust.edu.pk,0,0,0,0,0,1,,,,,,IPDPS,NA,us,edu
"Abdel-Majeed, Mohammad",@ju.edu.jo,0,0,0,0,0,1,,,,,,HPCA,NA,us,edu
"Abdelbaky, Moustafa",@rutgers.edu,0,0,0,0,0,1,,,,,,CCGrid,NA,us,edu
"Abdelhafez, Hazem",@ece.ubc.ca,0,0,0,0,0,1,,,,,,EuroPar,NA,ca,edu
"Abdelhalim, Amer",@anl.gov,0,1,0,0,0,0,,Cluster,,,,,M,us,gov
"Abdelwahed, Sherif",@ece.msstate.edu,0,0,0,0,0,1,,,,,,Cluster,NA,us,edu
"Abdelzaher, Tarek",@cs.uiuc.edu,0,1,0,0,0,1,,ICAC,,,,ICAC,M,ed,edu
"Abdolrashidi, Amirali",@email.ucr.edu,0,0,0,0,0,1,,,,,,MICRO,NA,ed,edu
"Abdulah, Sameh",,0,1,0,0,0,0,,HiPC,,,,,M,NA,NA
"Abduljabbar, Mustafa",@kaust.edu.sa,0,0,0,0,0,2,,,,,,"EuroPar,ISC",NA,us,edu
"Abdulla, Parosh Aziz",@it.uu.se,0,0,0,0,0,1,,,,,,PLDI,NA,se,edu
"Abe, Naoki",,0,1,1,0,0,0,,KDD,KDD,,,,M,NA,NA
"Abe, Tatsuya",,0,0,0,0,0,1,,,,,,OOPSLA,NA,NA,NA
"Abedi, Ali",@maine.edu,0,0,0,0,0,1,,,,,,ICPE,NA,us,edu
"Abedjan, Ziawasch",@tu-berlin.de,0,0,1,0,0,1,,,CIDR,,,CIDR,M,de,edu
"Aben, Emile",,0,0,0,0,0,2,,,,,,"SIGCOMM,IMC",NA,NA,NA
"Abeydeera, Maleen",@mit.edu,0,0,0,0,0,2,,,,,,"ISCA,PACT",NA,us,edu
"Abhashkumar, Anubhavnidhi",@wisc.edu,0,0,0,0,0,1,,,,,,CoNEXT,NA,us,edu
"Aboulnaga, Ashraf",@qf.org.qa,0,2,0,0,0,0,,"SIGMOD,SOCC",,,,,M,qa,edu
"Abowd, John",@census.gov,0,0,0,0,0,1,,,,,,SIGMOD,NA,us,gov
"Abraham, Ittai",@cs.huji.ac.il,0,1,0,0,0,2,,IPDPS,,,,"NSDI,SOSP",M,il,edu
"Abrahao, Bruno",@cs.stanford.edu,0,1,0,0,0,0,,KDD,,,,,M,us,edu
"Abramson, David",@monash.edu,1,4,0,0,0,0,ICPP,"CCGrid,HPDC,IPDPS,HPCC",,,,,M,us,edu
"Abts, Dennis",@acm.org,0,1,0,0,0,0,,IISWC,,,,,M,NA,NA
"Abu-Ghazaleh, Nael",@cs.ucr.edu,0,0,0,0,0,2,,,,,,"MICRO,MICRO",NA,ed,edu
"Abu-Salma, Ruba",,0,0,0,0,0,1,,,,,,SP,NA,NA,NA
"Abulila, Ahmed",,0,0,0,0,0,1,,,,,,HPCA,NA,NA,NA
"Acar, Gunes",@princeton.edu,0,0,0,0,0,1,,,,,,CCS,NA,us,edu
"Acar, Umut A.",@cs.cmu.edu,0,1,0,0,0,2,,SPAA,,,,"PLDI,PPoPP",M,us,edu
"Acar, Yasemin",,0,0,0,0,0,4,,,,,,"CCS,CCS,SP,SP",NA,NA,NA
"Accioly, Paola",@cin.ufpe.br,0,0,0,0,0,1,,,,,,OOPSLA,NA,br,edu
"Acer, Mustafa Emre",,0,0,0,0,0,1,,,,,,CCS,NA,NA,NA
"Acer, Seher",@bilkent.edu.tr,0,0,0,0,0,1,,,,,,EuroPar,NA,us,edu
"Acharya, Ayan",@utexas.edu,0,1,0,0,0,0,,ICDM,,,,,M,ed,edu
"Achermann, Reto",@inf.ethz.ch,0,0,0,0,0,1,,,,,,HotOS,NA,ch,edu
"Acun, Bilge",@illinois.edu,0,0,0,0,0,1,,,,,,HiPC,NA,us,edu
"Adam, Omer",,0,0,0,0,0,1,,,,,,CCGrid,NA,NA,NA
"Adams, Michael D.",@utah.edu,0,0,0,0,0,1,,,,,,OOPSLA,NA,ed,edu
"Adams, Trent",,0,0,0,0,1,0,,,,,NDSS,,M,NA,NA
"Adamsen, Christoffer Quist",@cs.au.dk,0,0,0,0,0,1,,,,,,OOPSLA,NA,dk,edu
"Adeniyi-Jones, Chris",,0,1,0,0,0,0,,EuroPar,,,,,M,NA,NA
"Adersberger, Josef",,0,0,0,0,0,1,,,,,,FAST,NA,NA,NA
"Adhinarayanan, Vignesh",@vt.edu,0,0,0,0,0,1,,,,,,IPDPS,NA,us,edu
"Adib, Fadel",@mit.edu,0,1,1,0,0,2,,MobiCom,MobiCom,,,"SIGCOMM,MobiCom",M,us,edu
"Adrian, David",@umich.edu,0,0,0,0,0,1,,,,,,NDSS,NA,ed,edu
"Adve, Sarita V.",@illinois.edu,0,0,0,0,0,2,,,,,,"IISWC,ISCA",NA,us,edu
"Afroz, Sadia",@icsi.berkeley.edu,0,1,0,0,0,0,,CCS,,,,,F,us,edu
"Afsahi, Ahmad",,0,2,0,0,0,1,,"IPDPS,HPCC",,,,HiPC,M,NA,NA
"Aftandilian, Edward",@google.com,0,1,0,0,0,1,,PLDI,,,,OOPSLA,M,NA,com
"Aga, Misiker Tadesse",@umich.edu,0,0,0,0,0,1,,,,,,HPCA,NA,ed,edu
"Aga, Shaizeen",@umich.edu,0,0,0,0,0,2,,,,,,"HPCA,ISCA",NA,ed,edu
"Agache, Alexandru",,0,0,0,0,0,2,,,,,,"EuroSys,SIGCOMM",NA,NA,NA
"Agarwal, Deepak",,0,0,0,1,0,0,,,,KDD,,,M,NA,NA
"Agarwal, Neha",@umich.edu,0,0,0,0,0,1,,,,,,ASPLOS,NA,ed,edu
"Agarwal, Nipun",,0,0,0,0,0,1,,,,,,MICRO,NA,NA,NA
"Agarwal, Rachit",@cs.cornell.edu,0,1,0,0,0,2,,ATC,,,,"EuroSys,SIGMOD",M,us,edu
"Agarwal, Sameer",@cs.berkeley.edu,0,1,0,0,0,0,,SOCC,,,,,M,us,edu
"Agarwal, Sharad",@microsoft.com,0,2,0,0,0,0,,"NSDI,MobiCom",,,,,M,NA,com
"Ageev, Mikhail",@yandex.com,0,1,0,0,0,0,,SIGIR,,,,,M,NA,com
"Aggarwal, Charu",@us.ibm.com,0,1,0,0,0,5,,ICDM,,,,"KDD,KDD,KDD,KDD,ICDM",M,us,com
"Aggarwal, Pooja",,0,0,0,0,0,1,,,,,,HiPC,NA,NA,NA
"Aghayev, Abutalib",,0,0,0,0,0,1,,,,,,FAST,NA,NA,NA
"Agichtein, Eugene",@mathcs.emory.edu,0,2,0,0,0,0,,"SIGIR,SIGMOD",,,,,M,us,edu
"Agostini, Elena",,0,0,0,0,0,1,,,,,,CCGrid,NA,NA,NA
"Agrawal, Abhinav",@ncsu.edu,0,0,0,0,0,2,,,,,,"IISWC,SC",NA,us,edu
"Agrawal, Abhishek",@intel.com,0,1,0,0,0,0,,IGSC,,,,,M,NA,com
"Agrawal, Aditya",@illinois.edu,0,0,0,0,0,3,,,,,,"MICRO,MICRO,SIGMETRICS",NA,us,edu
"Agrawal, Ankit",@eecs.northwestern.edu,0,1,0,0,0,2,,ICDM,,,,"HiPC,HiPC",M,us,edu
"Agrawal, Divyakant",@cs.ucsb.edu,0,0,0,0,0,2,,,,,,"SIGMOD,HotCloud",NA,ed,edu
"Agrawal, Gagan",@cse.ohio-state.edu,1,2,1,0,0,2,HiPC,"CCGrid,PACT",HiPC,,,"CCGrid,PPoPP",M,us,edu
"Agrawal, Gaurav",@google.com,0,0,0,0,0,1,,,,,,ISCA,NA,NA,com
"Agrawal, Kunal",@wustl.edu,0,0,0,0,0,3,,,,,,"ICPP,PPoPP,PPoPP",F,us,edu
"Agrawal, Nitin",@cs.wisc.edu,0,1,1,0,0,2,,FAST,FAST,,,"SOSP,Middleware",M,us,edu
"Agrawal, Rakesh",@microsoft.com,0,1,0,0,0,0,,CIDR,,,,,M,NA,com
"Agrawal, Sandeep R.",@oracle.com,0,1,0,0,0,1,,IISWC,,,,MICRO,M,us,com
"Agrawal, Shashank",@visa.com,0,0,0,0,0,1,,,,,,CCS,NA,NA,com
"Agrawal, Shweta",@iitm.ac.in,0,0,0,0,0,1,,,,,,CCS,NA,in,edu
"Aguiar, Leandro P. De",,0,0,0,0,0,1,,,,,,SIGMETRICS,NA,NA,NA
"Aguilera, Marcos K.",@vmware.com,1,1,2,0,0,0,HotStorage,SOSP,"HotStorage,SOCC",,,,M,NA,com
"Agullo, Emmanuel",,0,1,0,0,0,0,,SC,,,,,M,NA,NA
"Agung, Mulya",,0,0,0,0,0,1,,,,,,HiPC,NA,NA,NA
"Ahalt, Stan",,0,1,0,0,0,0,,SC,,,,,M,NA,NA
"Ahamad, Mustaque",@cc.gatech.edu,0,0,0,0,0,1,,,,,,NDSS,NA,us,edu
"Ahmad, Irfan",,0,1,2,0,0,1,,FAST,"HotCloud,FAST",,,ATC,M,NA,NA
"Ahmad, Ishfaq",@cse.uta.edu,0,0,1,0,0,1,,,IGSC,,,IGSC,M,ed,edu
"Ahmad, Maaz Bin Safeer",,0,0,0,0,0,1,,,,,,PLDI,NA,NA,NA
"Ahmad, Masab",@uconn.edu,0,0,0,0,0,1,,,,,,IPDPS,NA,ed,edu
"Ahmad, Raza",,0,0,0,0,0,1,,,,,,ICDM,NA,NA,NA
"Ahmad, Yanif",@jhu.edu,0,1,0,0,0,0,,SIGMOD,,,,,M,us,edu
"Ahmed, Amal",@ccs.neu.edu,0,0,0,0,0,1,,,,,,PLDI,NA,us,edu
"Ahmed, Kishwar",@fiu.edu,0,0,0,0,0,1,,,,,,MASCOTS,NA,us,edu
"Ahmed, M Meraj",@g.rit.edu,0,0,0,0,0,1,,,,,,IGSC,NA,us,edu
"Ahmed, Maruf",,0,0,0,0,0,1,,,,,,Cluster,NA,NA,NA
"Ahmed, Pritom",@ucr.edu,0,0,0,0,0,1,,,,,,SIGMOD,NA,ed,edu
"Ahmed, Salah",,0,0,0,0,0,1,,,,,,SIGMOD,NA,NA,NA
"Ahn, Dong H.",,0,0,0,0,0,2,,,,,,"IISWC,PPoPP",NA,NA,NA
"Ahn, Ethan C.",@utsa.edu,0,0,0,0,0,1,,,,,,HotStorage,NA,ed,edu
"Ahn, Gail-Joon",@asu.edu,0,2,0,0,0,1,,"CCS,CLOUD",,,,NDSS,M,us,edu
"Ahn, Jung Ho",@snu.ac.kr,0,4,0,0,0,4,,"MICRO,SC,ISCA,IPDPS",,,,"IISWC,IISWC,HPCA,ASPLOS",M,kr,edu
"Ahn, Soohan",,0,0,0,0,0,1,,,,,,ICPE,NA,NA,NA
"Ahrens, James",@lanl.gov,0,0,0,0,0,1,,,,,,IPDPS,NA,us,gov
"Ai, Qingyao",@cs.umass.edu,0,0,0,0,0,2,,,,,,"SIGIR,SIGIR",NA,ed,edu
"Ai, Zhiyuan",,0,0,0,0,0,1,,,,,,ATC,NA,NA,NA
"Aida, Kento",,0,1,0,0,0,0,,CLOUD,,,,,M,NA,NA
"Aiello, Luca Maria",@nokia-bell-labs.com,0,1,0,0,0,0,,SIGIR,,,,,M,NA,com
"Aiello, Marco",@ieee.org,0,1,0,0,0,0,,CLOUD,,,,,M,NA,NA
"Aiken, Alex",@cs.stanford.edu,0,0,0,0,0,5,,,,,,"OOPSLA,SC,PLDI,ASPLOS,HiPC",NA,us,edu
"Ailamaki, Anastasia",@epfl.ch,0,0,0,0,0,2,,,,,,"CIDR,SOCC",F,ch,edu
"Ainsworth, Mark",@brown.edu,0,0,0,0,0,2,,,,,,"HotStorage,Cluster",NA,us,edu
"Aiyar, Srinivas",,0,0,0,0,0,1,,,,,,NSDI,NA,NA,NA
"Ajay, Jerry",@buffalo.edu,0,0,0,0,0,1,,,,,,ASPLOS,NA,us,edu
"Aji, Ashwin",@amd.com,0,3,0,0,0,0,,"ICPP,IPDPS,HPCC",,,,,M,NA,com
"Akaria, Islam",,0,0,0,0,0,1,,,,,,IPDPS,NA,NA,NA
"Akata, Zeynep",,0,0,0,0,1,0,,,,,ISC,,F,NA,NA
"Akbudak, Kadir",@cs.bilkent.edu.tr,0,0,0,0,0,1,,,,,,ISC,NA,us,edu
"Akella, Aditya",@cs.wisc.edu,1,1,1,0,0,5,NSDI,SOSP,SOSP,,,"SIGCOMM,CoNEXT,SOSP,ATC,SOCC",M,us,edu
"Akella, Venkatesh",,0,0,0,0,0,1,,,,,,HPCA,NA,NA,NA
"Aken, Dana Van",,0,0,0,0,0,2,,,,,,"SIGMOD,CIDR",F,NA,NA
"Akgun, Itir",@ece.ucsb.edu,0,0,0,0,0,1,,,,,,ISCA,NA,ed,edu
"Akkus, Istemi Ekin",@mpi-sws.org,0,0,0,0,0,2,,,,,,"CoNEXT,Middleware",NA,de,gov
"Akoglu, Ali",MISSING,0,1,0,0,0,1,,HPCC,,,,HPCC,M,NA,NA
"Akoglu, Leman",@cs.cmu.edu,0,1,1,1,0,0,,ICDM,KDD,ICDM,,,F,us,edu
"Akram, Riad",,0,0,0,0,0,1,,,,,,IISWC,NA,NA,NA
"Aksenov, Vitaly",,0,0,0,0,0,1,,,,,,EuroPar,NA,NA,NA
